,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
63,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
64,ROOFTOP,"1418 3rd Ave, New York, NY 10028, USA",ChIJtW5oY75YwokRzlJpMF3F7-M,"1418 THIRD AVENUE MANHATTAN, NY 10028",40.7753401,-73.95685019999999,1,10028,OK,street_address
65,ROOFTOP,"437 Madison Ave, New York, NY 10022, USA",ChIJr8O4RvxYwokR06DPVPxymuc,"437 MADISON AVENUE MANHATTAN, NY 10022",40.7573566,-73.9753735,1,10022,OK,premise
66,ROOFTOP,"437 Madison Ave, New York, NY 10022, USA",ChIJr8O4RvxYwokR06DPVPxymuc,"437 MADISON AVENUE MANHATTAN, NY 10022",40.7573566,-73.9753735,1,10022,OK,premise
67,ROOFTOP,"1031 E 92nd St, Brooklyn, NY 11236, USA",ChIJJaprkcFcwokRrDEGWEPSCbY,"1031 EAST   92 STREET BROOKLYN, NY 11236",40.6438684,-73.9075537,1,11236,OK,street_address
68,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
69,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
70,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
71,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
72,ROOFTOP,"148 W 72nd St, New York, NY 10023, USA",ChIJQRMyT4pYwokRvIgoMXS9iiY,"148 WEST   72 STREET MANHATTAN, NY 10023",40.7778997,-73.9806673,1,10023,OK,premise
